rank,name,sale_price,base_price,discount_rate,unit_price,rating,rating_count,rocket,benefit_text,product_url,image_url
25,"베베모린 뽀롱뽀롱 뽀로로 복숭아맛 비타민C, 50정, 3개",6090,,,(1정당 41원),5.0,10439,True,최대 305원 적립,https://www.coupang.com/vp/products/5592286985?itemId=18786639684&vendorItemId=87297272472&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/35756676901164-1ade5063-6bb8-4c33-a1f6-1499e03b6746.jpg
26,"덴프스 덴마크 유산균이야기 프로, 60정, 1개",28210,92000.0,69.0,(1정당 470원),5.0,5307,True,"최대 1,325원 적립",https://www.coupang.com/vp/products/7733505934?itemId=20793952009&vendorItemId=84614166472&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ec82/7e0390fd7d18bc1cff830fe512fe98fc6caf1eef98438e25b6df575a67b9.jpg
27,"고려은단 비타민C 1000, 180정, 2개",33900,,,(1정당 94원),5.0,178634,True,"최대 1,695원 적립",https://www.coupang.com/vp/products/7431508110?itemId=16547687293&vendorItemId=84995746489&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/332d/b01a226733d2a3c966db09eed18b38362b4561fc400c5d84fe58add5f14a.jpg
28,"아임비타 멀티비타민 이뮨샷, 7회분, 1개",12900,15090.0,14.0,"(1정당 1,843원)",5.0,13411,True,최대 645원 적립,https://www.coupang.com/vp/products/7163887733?itemId=19084856826&vendorItemId=86849617923&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/268199933795699-260a8e43-8302-447c-a990-b5099411d10b.jpg
29,"락토핏 당케어 유산균, 120g, 1개",12980,35000.0,62.0,"(10g당 1,082원)",5.0,10996,True,최대 649원 적립,https://www.coupang.com/vp/products/7893057219?itemId=21614134728&vendorItemId=89440763589&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/3794/e83b61da5bb50dd64196d2990fc3c1e9fb7e974c7b9324b2c8df63491e5f.jpg
30,"뉴트리디데이 프리미엄 오메가3 골드 1100, 90정, 1개",20900,33160.0,36.0,(1정당 232원),4.5,58424,True,"최대 1,045원 적립",https://www.coupang.com/vp/products/7821106059?itemId=21244482032&vendorItemId=3000085957&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/edbf/0fbba6b552920ed980ced4fb67c06c3889c69bc515dcf00a008b07b6c527.jpg
31,"뉴트리디데이 프리미엄 칼슘 마그네슘 아연 비타민D, 90정, 1개",10900,16500.0,33.0,(1정당 121원),5.0,58165,True,최대 545원 적립,https://www.coupang.com/vp/products/7663082990?itemId=20420800467&vendorItemId=3447807470&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1828288473143378-16641a37-711a-4291-90b0-6fa41af07e98.jpg
32,"안국건강 아이원 루테인지아잔틴 미니, 180정, 1개",34050,82500.0,58.0,(1정당 189원),5.0,39908,True,"최대 1,703원 적립",https://www.coupang.com/vp/products/7568064592?itemId=23108512427&vendorItemId=71619989627&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3411757268992480-e3d0d5ab-b88b-4e62-a084-5d441257e640.jpg
33,"정관장 홍삼정 에브리타임 소프트 + 쇼핑백 세트, 300ml, 1개",54490,77000.0,29.0,"(10ml당 1,816원)",4.5,4184,True,"최대 2,725원 적립",https://www.coupang.com/vp/products/8180965355?itemId=23197504682&vendorItemId=90230097159&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/874152570354595-ddea4187-bb7b-4cfb-a461-873aabbc12f5.jpg
34,"겟비너스 씨커트 C-CUT 콜레스테롤 혈당케어, 140g, 1박스",33550,48000.0,30.0,"(10g당 2,396원)",4.5,4831,True,"최대 1,678원 적립",https://www.coupang.com/vp/products/8389396425?itemId=24249711270&vendorItemId=87769732336&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/image_audit/prod/d38f7995-8035-4af2-85cb-977103a7c798_composition_base_0.png
